2015-09-12 01:11:42 INFO  SearchPage:67 - clicking on sort: Proxy element for: org.openqa.selenium.support.pagefactory.DefaultElementLocator@7555b920 
2015-09-12 01:11:42 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (40d1d0e6-c3df-4c8a-b775-a733ace99868)] -> id: sortby-price]
2015-09-12 01:13:02 INFO  SearchPage:36 - Opening login page
2015-09-12 01:13:06 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 01:13:07 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (406a5128-9507-4ee8-9a8a-cacf3e9fda4e)] -> id: from_filter]
2015-09-12 01:13:07 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 01:13:07 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (406a5128-9507-4ee8-9a8a-cacf3e9fda4e)] -> id: to_filter]
2015-09-12 01:13:08 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 01:13:08 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (406a5128-9507-4ee8-9a8a-cacf3e9fda4e)] -> id: search-form__submit-btn]
2015-09-12 01:14:03 INFO  SearchPage:67 - clicking on sort: Proxy element for: org.openqa.selenium.support.pagefactory.DefaultElementLocator@48c40605 
2015-09-12 01:14:03 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (406a5128-9507-4ee8-9a8a-cacf3e9fda4e)] -> id: sortby-price]
2015-09-12 01:28:19 INFO  SearchPage:36 - Opening login page
2015-09-12 01:28:23 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 01:28:23 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (f282ba9e-bf0c-4c75-adb8-b57d338bfec2)] -> id: from_filter]
2015-09-12 01:28:23 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 01:28:23 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (f282ba9e-bf0c-4c75-adb8-b57d338bfec2)] -> id: to_filter]
2015-09-12 01:28:24 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 01:28:25 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (f282ba9e-bf0c-4c75-adb8-b57d338bfec2)] -> id: search-form__submit-btn]
2015-09-12 01:29:20 INFO  SearchPage:67 - clicking on sort: Proxy element for: org.openqa.selenium.support.pagefactory.DefaultElementLocator@7a11c4c7 
2015-09-12 01:29:20 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (f282ba9e-bf0c-4c75-adb8-b57d338bfec2)] -> id: sortby-price]
2015-09-12 01:33:23 INFO  SearchPage:36 - Opening login page
2015-09-12 01:33:27 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 01:33:28 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (8f67dd11-95a7-4dc7-a8a6-14091008e928)] -> id: from_filter]
2015-09-12 01:33:28 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 01:33:28 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (8f67dd11-95a7-4dc7-a8a6-14091008e928)] -> id: to_filter]
